,Sensor_022,Sensor_029,Sensor_041,Sensor_060,Sensor_104,Sensor_117,Sensor_122,Sensor_123,Sensor_125,Sensor_128,Sensor_130,Sensor_131,Sensor_133,Sensor_161,Sensor_164,Sensor_165,Sensor_211,Sensor_268,Sensor_269,Sensor_296,Sensor_299,Sensor_317,Sensor_349,Sensor_406,Sensor_407,Sensor_431,Sensor_432,Sensor_435,Sensor_436,Sensor_437,Sensor_511,Sensor_540,Sensor_541,Sensor_543,Sensor_587,Sensor_588,Sensor_589,Sensor_590
Sensor_022,1.0,0.006577604169720278,-0.0558242783347001,-0.025915795577083123,0.0222629884141487,-0.027981627304898653,-0.039344976612189685,-0.023136724230320396,-0.10139724296560028,-0.02070972846013679,-0.07809729956707641,0.018967146110323643,-0.0525228016995041,0.3481677112729775,0.601908653578771,0.6146973892820998,-0.002786388649762074,0.03541174187189309,-0.006785968178887931,0.3831110942567821,0.621460017920894,-0.01974357436975569,-0.0013999035852225367,0.03156473548244706,-0.011684552691157537,0.6742379997886286,0.595531049009525,0.6318175991091093,0.6445055184647664,0.6386073431235872,0.05984868375979515,0.037895544501676974,-0.006706893082340277,0.09504530793530004,0.05796601494312243,0.022183630322392664,0.017721069118362267,-0.03092306580442621
Sensor_029,0.006577604169720278,1.0,0.17747826093568886,-0.258395003637401,-0.33709354286774973,0.05638454471596987,-0.14330805478424996,0.1402179133619069,-0.22223847759859564,0.16914611529460125,-0.1950481126189304,-0.052990977720237815,-0.1559381461245979,-0.22110501928366846,-0.1530313797113706,-0.19508084543445442,-0.108085549683685,0.21270576384979603,-0.04741181846204936,-0.22203342478438703,-0.1654489448639774,0.22102654917925393,-0.12616027039150254,0.20728439433387527,-0.06529302484517169,-0.1824964228672339,-0.21932001026813439,-0.1905604501809302,-0.18745181893691434,-0.19677486834218635,-0.2439678978677919,0.22476694083576226,-0.046142740503874055,0.24659785414441676,0.11647297443621815,-0.030451810514736173,-0.020530345400302834,-0.08481722381958404
Sensor_041,-0.0558242783347001,0.17747826093568886,1.0,-0.12682777158908023,-0.0759986237309828,0.03845997844324485,-0.05643902118062129,0.04035600335240946,-0.06935348475657056,0.04748415032021901,-0.01028860727192875,0.008161607130226645,-0.029257866785122075,-0.11665935266270194,-0.05772711281612293,-0.08259658910123989,-0.01642240311789058,0.04472741077676464,-0.012568320146638834,-0.12286568267481332,-0.06792471388342611,0.07158193979942991,-0.008429266230177033,0.04853279107356502,-0.019664665384249377,-0.08117139327291045,-0.10027500287809625,-0.07180321699507554,-0.07637716196128125,-0.07624653155149748,-0.09374807824554379,0.047967263655819756,-0.011886177476206999,0.05794738007658739,0.041293572350202354,-0.03162131083387131,-0.03008887369514438,-0.060955189037296874
Sensor_060,-0.025915795577083123,-0.258395003637401,-0.12682777158908023,1.0,0.2877414334265354,-0.16668629187795955,0.0145225885725064,-0.10162197790256274,0.08346108308106112,-0.10222740772328781,0.1892900112714343,0.02521710716165862,0.14805743482564668,0.09651500752525193,0.08714520645631943,0.09302716595257367,0.1382954670209309,-0.06926521037516936,-0.0375890606400896,0.09637691212529224,0.0901448831450881,-0.18971709143557974,0.14356553654233267,-0.061201934911820424,-0.03543222787071359,0.07231255592399377,0.09543515070385032,0.0912687051992441,0.08536427935211227,0.08467762559394645,0.21781998686734821,-0.07716969930535743,-0.037193267644014406,-0.21861180094123456,-0.04230374860364521,-0.014662171829670797,-0.01415829040033731,0.041868808596775046
Sensor_104,0.0222629884141487,-0.33709354286774973,-0.0759986237309828,0.2877414334265354,1.0,0.01954116557117982,0.034986389217431385,-0.11489524156555682,0.12452477906862036,-0.0992388513161061,0.2783582406665688,0.06849443798835918,0.16837623194382925,0.16269846686166348,0.13515771208971053,0.1561852741522023,0.12876213976934783,-0.08077562715187647,-0.06977494122549709,0.16369791526831623,0.14523968179881008,-0.21285087835906008,0.1549023888456181,-0.06753691493559304,-0.06078527514415648,0.14887074346777315,0.16904544229867063,0.1500072226032429,0.14809107358035026,0.14801593854310272,0.609702534435213,-0.09011014663754222,-0.07035144087799483,-0.2764882577370832,-0.07921057203663524,-0.0003300691424018457,0.009149414163040291,0.03784323437109476
Sensor_117,-0.027981627304898653,0.05638454471596987,0.03845997844324485,-0.16668629187795955,0.01954116557117982,1.0,0.03324443030564765,-0.08923588558733106,0.011219033275395066,-0.07605177645387387,0.0647311860237461,0.12402884733062143,0.08822773562765186,-0.009096978276524273,-0.03245363176265348,-0.03743939745201361,0.014391998983426588,0.04644629768620305,0.021829663410246523,-0.011159136103576666,-0.033507544031630296,0.08174424693915498,0.017137934153030193,0.04985233013953365,0.014825938368753521,-0.033804546338631954,-0.028081838630783885,-0.03783111261195144,-0.03738371067527729,-0.03908131907564058,-0.00123897924295299,0.04226273448516484,0.022137135781668656,-0.02915950866879007,0.04090316033529396,-0.002188409276035267,0.0006461511588395777,-0.042785124195529774
Sensor_122,-0.039344976612189685,-0.14330805478424996,-0.05643902118062129,0.0145225885725064,0.034986389217431385,0.03324443030564765,1.0,-0.12826732801986424,0.8930749448293707,-0.20710644604588732,0.013792647937763882,0.2559560084387089,-0.13775961897964478,0.03153332131459075,-0.0030414612553432215,-0.011007067280958297,0.05763121327848366,-0.3679472780490867,0.39331899873283754,0.02854065278187834,-0.00300825323882239,-0.05388613049824335,0.07185214818493274,-0.37871387556428043,0.4171042790752439,-0.03325186014417498,0.0038292032274439996,-0.008456171529986569,-0.015112512386031436,-0.012289231550747896,0.02269134819335912,-0.3745348002439064,0.38038387704654275,-0.13567548759781034,0.022956203586579994,0.01834797782141509,0.01075740357369635,-0.07487213111751838
Sensor_123,-0.023136724230320396,0.1402179133619069,0.04035600335240946,-0.10162197790256274,-0.11489524156555682,-0.08923588558733106,-0.12826732801986424,1.0,-0.04764467013474815,0.9620742759336827,-0.2968391901303867,-0.8321057284214868,-0.47535642976838643,-0.047011187561503326,-0.03515670210298203,-0.07291353208416904,-0.032150816421745956,-0.2428229731999413,-0.09163360051225641,-0.049898112681900225,-0.04398978651189998,-0.016550187720630962,-0.04034580925552529,-0.2384628640393034,-0.06134095322610814,-0.058432117577284046,-0.062091988900923246,-0.06001145684372558,-0.0683796373941956,-0.06792853032650442,-0.08740112937917086,-0.22021256534124103,-0.09084541473864033,0.10878199087074533,-0.0296580534569369,-0.0016641403703644034,-0.0007165407614897981,0.029301749391606978
Sensor_125,-0.10139724296560028,-0.22223847759859564,-0.06935348475657056,0.08346108308106112,0.12452477906862036,0.011219033275395066,0.8930749448293707,-0.04764467013474815,1.0,-0.12259962752328893,0.18997668550144337,0.1492419270023122,-0.18211328331250762,0.07016895205441893,0.00540613362337414,-0.001368509579713587,0.07396115552090249,-0.48411384253015377,0.4293923369709641,0.06364661937025412,0.004308126034802108,-0.06678713062906289,0.09553638919797608,-0.4837953774835585,0.4571104629780725,-0.02066062531995219,0.02701426991203342,0.00506735059505736,-0.005090085026106384,-0.0006209126012346665,0.08319569589668105,-0.4892829822568236,0.41755250542520983,-0.23711061917569917,-0.035133270343255675,0.024363733769532145,0.017371576673799988,-0.03121436822065661
Sensor_128,-0.02070972846013679,0.16914611529460125,0.04748415032021901,-0.10222740772328781,-0.0992388513161061,-0.07605177645387387,-0.20710644604588732,0.9620742759336827,-0.12259962752328893,1.0,-0.22773880310924247,-0.7872610545051882,-0.3957626793891859,-0.04859879694949797,-0.039261955044811635,-0.07397436344649101,-0.03522159004815855,-0.13216727794746524,-0.16762626140645476,-0.050358750119496115,-0.04672031504811073,-0.0071473064702539035,-0.04358615643088682,-0.12569337861290603,-0.1457678639282675,-0.055533176001312884,-0.06257083231370754,-0.06171939412749626,-0.0683444351697813,-0.06835819876713187,-0.08533807142084808,-0.11107418482854033,-0.16663237976011594,0.09861104076708073,-0.018239362263936923,-0.0058830177887515015,-0.0023509831565959836,0.02673906754384652
Sensor_130,-0.07809729956707641,-0.1950481126189304,-0.01028860727192875,0.1892900112714343,0.2783582406665688,0.0647311860237461,0.013792647937763882,-0.2968391901303867,0.18997668550144337,-0.22773880310924247,1.0,0.2509093141847773,0.12972776054846183,0.12110320340897895,0.020891211868051544,0.05389367029641234,0.08435391693626391,-0.040325892188971244,0.14652321623914003,0.11678023314980382,0.026911908053350506,-0.03343003853101141,0.11280725632872098,-0.026714915409318783,0.1473811697077613,0.05387335587047659,0.0885885279251207,0.051137215539090515,0.05386436580882042,0.05559553793439603,0.15023698644139669,-0.04333800701732453,0.1471781535143587,-0.3417174551830068,-0.10945693332600322,0.03112247839587065,0.02952318398628101,0.05980163770433631
