capteur,moyenne,sigma_estime,UCL,LCL,nb_points_hors_controle,pct_hors_controle,cumsum,cumsum_pct
Sensor_587,0.02145781748564135,0.0043785042073132075,0.03459333010758098,0.008322304863701727,356,22.718570516911296,356,2.0122089079810084
Sensor_406,0.024205934907466496,0.00460030524532848,0.03800685064345194,0.010405019171481057,336,21.442246330567965,692,3.911372371693421
Sensor_407,6.726477026164646,1.1231101623144302,10.095807513107935,3.357146539221355,329,20.995532865347798,1021,5.770969929911825
Sensor_130,-0.5518601148691767,0.45696663587040204,0.8190397927420293,-1.9227600224803827,329,20.995532865347798,1350,7.630567488130229
Sensor_268,0.0705869814932993,0.01310143293207612,0.10989128028952766,0.031282682697070935,320,20.4211869814933,1670,9.439294596427764
Sensor_588,0.016473835354179962,0.003149597384129054,0.025922627506567125,0.007025043201792799,307,19.591576260370132,1977,11.174542165950713
Sensor_541,1.9420248883216336,0.3256792161444888,2.9190625367551,0.9649872398881671,307,19.591576260370132,2284,12.909789735473659
Sensor_540,3.034339885130823,0.5453489714953399,4.670386799616843,1.3982929706448033,301,19.208679004467136,2585,14.611123671716031
Sensor_269,19.49687747287811,3.263190311857468,29.286448408450518,9.707306537305707,297,18.953414167198467,2882,16.28984851910468
Sensor_589,0.005282897255903,0.0010310521453221382,0.008376053691869414,0.0021897408199365856,268,17.102744097000638,3150,17.804657472303866
Sensor_590,99.65234486279516,27.264601562004657,181.44614954880913,17.85854017678119,265,16.91129546904914,3415,19.302509608862763
Sensor_133,2.318513273771538,0.024473689573652882,2.3919343424924966,2.2450922050505797,260,16.592214422463307,3675,20.772100384354513
Sensor_128,0.6485087428206764,0.06119619711420885,0.8320973341633029,0.4649201514780498,240,15.315890236119975,3915,22.12864571557766
Sensor_041,68.06396617740907,16.09893866108711,116.3607821606704,19.76715019414774,229,14.613911933631144,4144,23.423016052453086
Sensor_125,15.794620293554562,0.05634470983578345,15.963654423061913,15.625586164047212,226,14.422463305679642,4370,24.700429572688222
Sensor_122,15.79638800255265,0.04862299937501696,15.942257000677701,15.650519004427599,224,14.29483088704531,4594,25.966538548496498
Sensor_123,3.898266751754946,0.3972808709908246,5.09010936472742,2.706424138782472,211,13.465220165922146,4805,27.159167985530182
Sensor_117,0.9871299298021697,0.005052795213898175,1.0022883154438642,0.9719715441604753,187,11.933631142310148,4992,28.216142889441553
Sensor_131,0.7450555520102107,0.04056199220129888,0.8667415286141074,0.623369575406314,182,11.614550095724315,5174,29.244856432285776
Sensor_543,0.11120638162093172,0.0014981476952619043,0.11570082470671743,0.106711938535146,162,10.338225909380983,5336,30.160524530861405
Sensor_126,1.1847204850031907,0.14933267211941706,1.6327185013614418,0.7367224686449395,148,9.444798978940652,5484,30.997060818449018
Sensor_124,15.82966177409062,0.05489547385487716,15.994348195655252,15.664975352525989,147,9.380982769623484,5631,31.827944833823196
Sensor_545,0.0025093171665603064,0.00019072171951849134,0.0030814823251157806,0.0019371520080048324,142,9.061901723037652,5773,32.63056748813023
Sensor_081,-0.01838021697511168,0.028343942193599814,0.06665160960568776,-0.10341204355591112,139,8.870453095086152,5912,33.416233325796966
Sensor_079,-0.013625079770261644,0.027116790304611293,0.06772529114357223,-0.09497545068409552,132,8.423739629865985,6044,34.1623332579697
Sensor_134,1004.0431287172943,3.8024260549985027,1015.4504068822898,992.6358505522987,131,8.359923420548819,6175,34.90278091792901
Sensor_546,7.6107708359923425,0.7890287175167342,9.977856988542545,5.24368468344214,130,8.296107211231654,6305,35.637576305674884
Sensor_544,0.008470006381620931,0.000897054427868808,0.011161169665227354,0.005778843098014508,130,8.296107211231654,6435,36.37237169342076
Sensor_060,2.9512491703892785,5.385515169424746,19.107794678663517,-13.20529633788496,129,8.232291001914486,6564,37.1015148089532
Sensor_129,3.192198468410976,0.11278622410622904,3.5305571407296634,2.8538397960922888,124,7.913209955328654,6688,37.8023965634185
Sensor_313,0.16002622846202935,0.08770125132469225,0.4231299824361061,-0.10307752551204741,107,6.828334396936822,6795,38.407189690255485
Sensor_007,101.11647562220804,4.668536294303597,115.12208450511883,87.11086673929725,88,5.615826419910657,6883,38.904589645037305
Sensor_080,0.0034145500957243136,0.015943350724165105,0.05124460226821963,-0.044415502076771,86,5.488194001276324,6969,39.39068505539227
Sensor_577,5.563746522016592,6.659995595681278,25.54373330906043,-14.416240265027243,84,5.360561582641991,7053,39.86547592132037
Sensor_127,2.7506381620931717,0.13839297845167253,3.165817097448189,2.335459226738154,83,5.296745373324825,7136,40.33461451503504
