capteur,correlation_avec_fail,correlation_abs
Sensor_060,0.15600765358943605,0.15600765358943605
Sensor_104,0.15122982385797631,0.15122982385797631
Sensor_511,0.13166206591650073,0.13166206591650073
Sensor_349,0.13080675914334938,0.13080675914334938
Sensor_432,0.11993649667913904,0.11993649667913904
Sensor_435,0.11131162913172622,0.11131162913172622
Sensor_431,0.109114750820988,0.109114750820988
Sensor_022,0.10833341799046362,0.10833341799046362
Sensor_436,0.1082599157691687,0.1082599157691687
Sensor_029,-0.10698738214249187,0.10698738214249187
Sensor_437,0.10611891793326098,0.10611891793326098
Sensor_211,0.10334778754545793,0.10334778754545793
Sensor_130,0.10279866116361039,0.10279866116361039
Sensor_299,0.10167209181429765,0.10167209181429765
Sensor_164,0.09950581231036212,0.09950581231036212
Sensor_125,0.094167701182272,0.094167701182272
Sensor_296,0.09138009801944869,0.09138009801944869
Sensor_317,-0.08938489751367659,0.08938489751367659
Sensor_161,0.08923268441527751,0.08923268441527751
Sensor_165,0.08728909926524896,0.08728909926524896
Sensor_300,0.087287531289119,0.087287531289119
Sensor_122,0.08508447798390917,0.08508447798390917
Sensor_301,0.08407525304121827,0.08407525304121827
Sensor_126,-0.08364438623026327,0.08364438623026327
Sensor_166,0.08349303509702627,0.08349303509702627
Sensor_295,0.0811830588209199,0.0811830588209199
Sensor_034,0.08096829215123527,0.08096829215123527
Sensor_027,-0.08057858111517986,0.08057858111517986
Sensor_181,-0.07863068899230316,0.07863068899230316
Sensor_123,-0.07832589605829475,0.07832589605829475
Sensor_080,0.07772300997852094,0.07772300997852094
Sensor_160,0.07728146803573993,0.07728146803573993
Sensor_453,-0.07708539309569806,0.07708539309569806
Sensor_065,0.07667430895641233,0.07667430895641233
Sensor_131,0.0765921002646095,0.0765921002646095
Sensor_128,-0.0751284906057886,0.0751284906057886
Sensor_023,-0.07364575094466216,0.07364575094466216
Sensor_124,0.07230616361635804,0.07230616361635804
Sensor_438,0.06936561428713645,0.06936561428713645
Sensor_015,-0.0689682967982346,0.0689682967982346
Sensor_115,0.06865473715229209,0.06865473715229209
Sensor_134,0.06778792927693743,0.06778792927693743
Sensor_250,0.06647761863610172,0.06647761863610172
Sensor_388,0.06631450502204422,0.06631450502204422
Sensor_101,0.06506609313870612,0.06506609313870612
Sensor_057,0.06426696721540633,0.06426696721540633
Sensor_096,0.061022965648125725,0.061022965648125725
Sensor_201,0.06064506247414143,0.06064506247414143
Sensor_461,0.06062475065889779,0.06062475065889779
Sensor_064,0.0600352527994336,0.0600352527994336
Sensor_472,0.05986263842343745,0.05986263842343745
Sensor_558,0.05829554478273294,0.05829554478273294
Sensor_555,0.058195044026087675,0.058195044026087675
Sensor_552,0.05814034167558013,0.05814034167558013
Sensor_478,0.05627472015560252,0.05627472015560252
Sensor_456,0.056256061309951824,0.056256061309951824
Sensor_198,0.05603669861435647,0.05603669861435647
Sensor_077,-0.05573506272178833,0.05573506272178833
Sensor_184,0.05558779915361865,0.05558779915361865
Sensor_366,0.05519695269927627,0.05519695269927627
Sensor_512,0.055185075226432345,0.055185075226432345
Sensor_127,0.05516307416328818,0.05516307416328818
Sensor_059,0.05515481798408026,0.05515481798408026
Sensor_469,-0.05503106863344428,0.05503106863344428
Sensor_066,0.05496142688640699,0.05496142688640699
Sensor_206,0.05375954050889017,0.05375954050889017
Sensor_338,0.053671187041400135,0.053671187041400135
Sensor_197,0.05351937941279494,0.05351937941279494
Sensor_041,-0.05346371981230422,0.05346371981230422
Sensor_091,-0.05344320109449661,0.05344320109449661
Sensor_320,0.052986471239203484,0.052986471239203484
Sensor_576,-0.05273135177656256,0.05273135177656256
Sensor_470,0.05271569344060781,0.05271569344060781
Sensor_039,0.05260647856140178,0.05260647856140178
Sensor_200,0.052162163117104414,0.052162163117104414
Sensor_033,0.05214890015525063,0.05214890015525063
Sensor_069,-0.05211660669459747,0.05211660669459747
Sensor_071,-0.052005418047099974,0.052005418047099974
Sensor_574,-0.051873059024153366,0.051873059024153366
Sensor_167,0.051748318470601865,0.051748318470601865
Sensor_544,-0.051165203921927284,0.051165203921927284
Sensor_543,-0.050775374198367466,0.050775374198367466
Sensor_281,-0.05040240874591436,0.05040240874591436
Sensor_032,-0.05000922603096836,0.05000922603096836
Sensor_342,0.049821659853828956,0.049821659853828956
Sensor_578,-0.04963268746221563,0.04963268746221563
Sensor_334,0.04877557133498998,0.04877557133498998
Sensor_551,0.048663145026713754,0.048663145026713754
Sensor_554,0.048176817453552664,0.048176817453552664
Sensor_424,0.04802065679803397,0.04802065679803397
Sensor_139,0.04787717810493531,0.04787717810493531
Sensor_282,-0.04762551362752838,0.04762551362752838
Sensor_412,0.04757481014171891,0.04757481014171891
Sensor_302,0.047350168947976695,0.047350168947976695
Sensor_189,0.04718853330370635,0.04718853330370635
Sensor_434,0.04701519104903617,0.04701519104903617
Sensor_583,0.047014659624452504,0.047014659624452504
Sensor_100,0.04646700952878996,0.04646700952878996
Sensor_489,-0.04630528407010481,0.04630528407010481
Sensor_546,-0.045806399315119595,0.045806399315119595
Sensor_557,0.0455766595900749,0.0455766595900749
Sensor_350,0.04556416004166062,0.04556416004166062
Sensor_204,0.0454773799238819,0.0454773799238819
Sensor_212,0.044605201008020234,0.044605201008020234
Sensor_476,0.044458889937979626,0.044458889937979626
Sensor_214,0.04432279504254534,0.04432279504254534
Sensor_146,-0.04385219418237864,0.04385219418237864
Sensor_116,-0.0436535318041548,0.0436535318041548
Sensor_548,0.043648112403329865,0.043648112403329865
